IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,14.724975,28.8957,30.21045,26.982375,49.694575,14.40385,14.957975,22.095425,1624.7889,-28.0364,-13.960875
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,40.62275,69.041775,247.256475,13.054975,32.870275,48.36765,64.7573,5.60665,-7.3339,-17.335625,5.6427
GalNAc(b1-4)GlcNAc(b1-Sp0,11.944575,36.924025,57.927775,27.766675,20.775775,16.22855,232.876725,29.2669,25314.4549,-20.770975,-11.995175
GalNAc(b1-4)GlcNAc(b1-Sp8,4.7847,115.923525,144.9456,16.454875,41.3549,26.55265,318.527525,24.813625,15150.8625,5.276275,70.322
Gal(a1-2)Gal(b1-Sp8,26.324575,176.56415,20.685675,9.200025,18.185,94.958525,11.51675,5.791225,-13.619175,9.77965,1.715925
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,16.4118,576.531225,31.222775,557.569975,21.88695,329.952875,4.633375,13.087675,-6.302025,48.325175,-3.166925
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,42.9776,147.858425,83.327275,429.83885,219.34445,62.050425,29.3466,62.127525,-3.282325,18.2529,3.0569
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,35.29885,228.504775,21.3167,13.02815,80.654525,383.11215,47.100375,28.75775,11.786225,6.5708,62.348275
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,22.364275,121.015825,44.849125,3.878575,48.952175,64.1192,6.063425,9.317675,-1.746575,2.857225,7.093875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,14.277875,139.021325,7.459075,650.2829,28.988325,151.42105,9.24395,11.23375,-12.0878,-7.6077,9.51485
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,27.327325,262.116725,57.298725,1045.41565,2.0931,117.0176,16.349025,7.310275,-10.45135,5.41555,8.0001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.398225,135.78865,57.82245,25.353425,27.697525,33.943175,13.975525,16.657025,4.35345,-8.2425,3.1173
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,9.133575,42.7825,932.721575,11.465325,16.0921,2.331125,0.124525,7.572325,26.636875,-0.288875,0.811875
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,12.070075,74.23905,74.58795,18.452925,89.384775,-10.56195,93.3256,10.616875,-14.861,-4.91465,13.37075
Gal(a1-3)GalNAc(a1-Sp8,25.29425,49.562225,56.7987,44.38705,25.140925,49.98565,39.426225,49.2238,20.259575,-0.26725,-0.989075
Gal(a1-3)GalNAc(a1-Sp16,18.881325,97.6702,23.809475,6.023375,6.84425,17.1516,10.616825,14.496125,-9.86125,6.938225,-10.064725
Gal(a1-3)GalNAc(b1-Sp8,6.5663,165.946,18.4521,12.693,48.054475,33.30305,-0.1123,6.90435,-14.1093,11.1407,4.49585
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,13.96825,102.131125,43.390075,7.9081,16.73885,132.189575,22.806025,16.4995,7.795875,17.5859,-9.237075
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,10.061675,686.10685,16.201275,5.227575,57.659725,54.347675,43.330325,4.96055,-14.938875,60.35305,2.4331
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,10.64045,171.107975,32.810675,41.0557,10.349525,3.659975,15.619325,21.90735,-10.6396,-1.963425,-8.2206
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,25.8352,122.575075,12.096225,201.8039,54.334025,136.434425,-1.038175,8.298625,-19.984975,2.784925,-5.948175
Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,30.958625,123.0816,12.42225,325.24415,39.3806,-6.588875,1.51595,17.43335,-18.8902,45.17205,-5.568175
Gal(a1-3)Gal(b1-Sp8,18.446625,208.5658,8.21375,0.457975,22.173025,165.281475,-1.40995,8.502775,-23.128075,6.33685,-0.1075
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,26.14145,32.036325,95.6257,6.433125,27.6505,27.4315,15.880825,26.442775,-9.447675,-6.011075,46999.25755
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,28.194875,81.084375,44.7752,35.068375,23.011175,105.7099,1.402125,16.727625,1.4428,2.191325,10.1358
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,21.44295,64.839025,20.15995,8.1694,28.546575,16.61445,11.340025,19.213,132.84225,-5.45315,-10.88315
