IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
Gal(a1-3)GalNAc(b1-Sp8,0.011512047,0.004829963,0.003383926,0.010076037,0.001410148,0.004150312,0.000976397,0.005531538,0.001960887,0.002208266,0.001291792
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.016698878,0.002840213,0.008110415,0.007229078,0.00074728,0.006498059,0.0018212,0.006044113,0.002536497,0.002334061,0.001007639
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,0.013961391,0.021048604,0.002957328,0.005634197,0.001613465,0.00464995,0.002577755,0.0054277,0.001939088,0.003168775,0.001249111
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,0.014366961,0.004990914,0.006105304,0.026951512,0.000612035,0.003446531,0.001556287,0.006333002,0.002052061,0.001952504,0.001028672
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,0.025014507,0.003477656,0.002179299,0.122594808,0.001543069,0.00659884,0.000942268,0.005606021,0.00180649,0.002045181,0.001075691
Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,0.028604688,0.003493449,0.00224109,0.196040311,0.001226545,0.003203204,0.001036417,0.006094,0.001835257,0.002872477,0.001083554
Gal(a1-3)Gal(b1-Sp8,0.019837048,0.006158851,0.001443454,0.002796341,0.000862307,0.007283722,0.000928564,0.005616926,0.001723897,0.002114506,0.001196543
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,0.025229108,0.000654653,0.018010622,0.006351485,0.00097825,0.00401091,0.001565927,0.006575285,0.002083382,0.001873504,0.973676978
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,0.026668022,0.002183974,0.008372938,0.023389124,0.000880048,0.005869383,0.001032221,0.0060563,0.002369555,0.002033595,0.00140849
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,0.021936688,0.001677443,0.003707615,0.007384548,0.000997218,0.003754094,0.001398546,0.006189069,0.005822384,0.001884393,0.00097358
